source,target
1892,3197
1892,12833
1892,10297
1892,83002
7796,11665
7796,2171
7796,15864
7796,176557
7796,19453
7796,1141310
7796,81316
7796,10767
7796,1366083
7796,11477
7796,4517
851784,204
851784,20508
2641,1205143
2641,1205144
2641,2222
2641,160663
2641,9805
2641,24589
2641,24590
2641,57905
2641,18589
2641,105270
2641,2638
2641,2639
2641,2091
1,71538
1,553222
1,1021364
1,2231
1,12898
1,2297235
1,491
1,3
1,738
1,132305
1,5026
1,4
1,3799
1,130
1,10930
1,2140901
1,33185
7879,7090
7879,94037
7879,35219
7879,2106
7879,146136
7879,628
7879,608
7879,1186197
7879,110675
7879,7167
27888,227
2303,1296936
2303,1310844
2303,1414419
2303,6818
2303,10249
2303,1061561
2303,1018937
5293,86034
5293,32887
5293,1291350
5293,3490
5293,39104
5293,1480608
5293,18514
5293,1136406
5293,505710
5293,71580
5293,32592
5293,1434355
5293,189747
5293,285917
5293,1731598
5293,118415
5293,20715
5293,73968
5293,90633
1032,1130441
1032,108650
1032,1130439
1032,1665042
1032,1867
1032,72861
1032,941022
1032,237532
1032,1052109
1032,1052107
1032,1146050
1032,83198
1032,101377
1032,14701
1032,14702
1150,11008
1150,1259
1150,19665
134,135651
134,60073
134,325
134,979952
134,9309
134,57551
134,5726
134,104779
134,224859
134,540281
190,3265
190,4078
190,14276
190,74308
190,74309
190,448
190,3892
190,3095559
190,4385
190,34259
190,5064
190,19429
190,18897
190,15111
190,4430
147,1932312
147,1037
147,3129
147,23920
147,6844
147,68559
147,188707
147,59554
147,1591097
147,17397
147,17398
147,1572034
147,2555
147,7218
147,1954
147,6856
147,10431
11784,1226789
11784,65344
11784,2047
11784,73040
11784,27993
78021,1198123
78021,106207
78021,52860
78021,1515269
78021,2029964
78021,42545
78021,15832
78021,1404664
78021,1404667
78021,70602
78021,1036843
78021,1288492
78021,93190
78021,106166
78021,1229317
78021,1133295
78021,1536126
78021,1536127
78021,1376433
78021,1376434
78021,1102159
16847,19487
16847,19119
16847,52365
16847,21429
16847,20493
16847,33656
16847,39520
16847,11462
16847,11465
2714,52602
2714,2517
2714,59183
2714,111207
2714,14392
2714,2053
2714,3085
2714,60848
2714,1229762
2714,31365
2714,23967
2714,78494
2714,571562
2714,75039
1443708,587506
1443708,543505
1443708,130640
44038,2115
102429,19707
102429,31302
102429,100659
102429,31211
102429,12515
102429,13578
102429,9925
102429,2922
102429,30814
102429,10828
44762,650
44762,104021
44762,109255
44762,7505
44762,26660
44762,3035391
44762,3035392
44762,79084
44762,16028
44762,41955
100360,98226
100360,35579
100360,100359
62596,16938
62596,97915
62596,27804
62596,97914
62596,27747
62596,80579
62596,55841
62596,7073
62596,99906
64722,1351030
11357,2545
11357,8212
11357,222130
11357,1924482
11357,1658964
16178,30807
16178,30808
16178,164807
16178,14464
16178,11173
16178,1319490
20903,34982
20903,963818
20903,86314
22082,43458
22082,104646
22082,63681
22082,210344
22082,1547914
19506,60279
19506,1082094
19506,12077
19506,12900
19506,19507
19506,16418
19506,15761
19506,1178795
19506,27811
19506,42160
19506,56930
11770,11813
11770,15406
11770,14999
11770,2932562
11770,2838131
11770,511
11770,4600
11770,1432094
11770,2772005
11770,44810
11770,4785
11770,6929
11770,229715
11770,1250815
11770,65827
11770,11065
515,32396
515,36190
515,44712
515,2056726
515,66776
515,40389
515,5699
43774,2628845
43774,38026
43774,51641
43774,45445
43774,923
43774,156485
43774,1213549
99596,17005
99596,109870
99596,235722
61956,1660251
113,510
113,1116483
113,12688
113,69344
113,131814
113,19794
113,72717
113,38037
113,222054
113,1483204
113,1483206
113,936
